1860,false,{},false
1861,false,{},false
1862,false,{},false
1863,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,-1/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1864,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1865,false,{},false
1866,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1867,false,{},false
1868,true,{{1/1,-1/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-3/1,-1/1}},false
1869,false,{},false
1870,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-3/1,-1/1}},false
1871,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-3/1,-1/1}},false
1872,false,{},false
1873,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,1/1,-3/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-3/1,-1/1}},false
1874,true,{{1/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,-1/1,-1/1},{0/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,0/1,-1/1}},false
1875,false,{},false
1876,true,{{1/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-2/1,1/1,-2/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,-2/1,0/1,-2/1,-1/1}},false
1877,false,{},false
1878,false,{},false
1879,false,{},false
1880,true,{{1/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1,-1/1}},false
1881,true,{{1/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,0/1,-1/1}},false
1882,false,{},false
1883,false,{},false
1884,false,{},false
1885,false,{},false
1886,true,{{1/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,-1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,0/1,-1/1}},false
1887,false,{},false
1888,true,{{1/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,-2/1,0/1,-2/1,-1/1}},false
1889,true,{{1/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,-2/1,0/1,-2/1,-1/1}},false
1890,false,{},false
1891,false,{},false
1892,false,{},false
1893,true,{{1/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-2/1,1/1,-1/1,-1/1},{0/1,-2/1,-2/1,0/1,-1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,0/1,-1/1}},false
1894,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-2/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1895,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-2/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1896,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,1/1,0/1,-2/1,-1/1},{0/1,-2/1,0/1,1/1,-2/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1897,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1,-1/1},{0/1,-1/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,0/1,-2/1,0/1,-1/1}},false
1898,false,{},false
1899,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,1/1,-2/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1900,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-2/1,-1/1}},false
1901,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1902,false,{},false
1903,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1904,false,{},false
1905,false,{},false
1906,false,{},false
1907,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
1908,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
1909,false,{},false
1910,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1,-1/1}},false
1911,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
1912,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-2/1,-1/1},{0/1,0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-2/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
1913,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1914,false,{},false
1915,false,{},false
1916,false,{},false
1917,false,{},false
1918,false,{},false
1919,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1920,false,{},false
1921,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1922,false,{},false
1923,false,{},false
1924,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1925,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1926,false,{},false
1927,false,{},false
1928,false,{},false
1929,false,{},false
1930,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1931,false,{},false
1932,false,{},false
1933,false,{},false
1934,false,{},false
1935,false,{},false
1936,false,{},false
1937,false,{},false
1938,false,{},false
1939,false,{},false
1940,false,{},false
1941,false,{},false
1942,false,{},false
1943,true,{{1/1,-1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1,-1/1},{0/1,-1/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,0/1,-2/1,0/1,-1/1}},false
1944,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1945,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1946,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1947,false,{},false
1948,false,{},false
1949,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1950,false,{},false
1951,false,{},false
1952,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-3/1,-1/1}},false
1953,false,{},false
1954,true,{{1/1,-1/1,0/1,0/1,-2/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-2/1,0/1},{0/1,-2/1,0/1,0/1,-4/1,-1/1}},false
1955,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1956,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
1957,false,{},false
1958,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1959,false,{},false
1960,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
1961,false,{},false
1962,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-1/1,-1/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1963,false,{},false
1964,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
1965,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1966,false,{},false
1967,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1968,false,{},false
1969,false,{},false
1970,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1971,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1972,false,{},false
1973,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1974,true,{{1/1,-1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,0/1,-3/1,0/1,-1/1}},false
1975,false,{},false
1976,false,{},false
1977,false,{},false
1978,false,{},false
1979,false,{},false
1980,false,{},false
1981,false,{},false
1982,false,{},false
1983,true,{{1/1,-1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,0/1,-3/1,0/1,-1/1}},false
1984,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1985,false,{},false
1986,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1987,false,{},false
1988,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1989,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1990,false,{},false
1991,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-2/1,-1/1}},false
1992,false,{},false
1993,false,{},false
1994,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1995,true,{{1/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
1996,false,{},false
1997,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
1998,true,{{-1/1,1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{-2/1,0/1,0/1,0/1,-2/1,-1/1}},false
1999,false,{},false
2000,true,{{-1/1,1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{-2/1,0/1,0/1,0/1,-2/1,-1/1}},false
2001,false,{},false
2002,false,{},false
2003,true,{{-1/1,1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{-1/1,0/1,0/1,0/1,-1/1,0/1},{-2/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
2004,false,{},false
2005,false,{},false
2006,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1,0/1}},false
2007,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1}},false
2008,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
2009,false,{},false
2010,true,{{1/1,-1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,0/1,-1/1}},false
2011,true,{{1/1,-1/1,-1/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,-1/1,-1/1,0/1},{0/1,-2/1,-2/1,-2/1,-2/1,-1/1}},false
2012,false,{},false
2013,true,{{1/1,-1/1,-1/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,-1/1,-1/1,0/1},{0/1,-2/1,-2/1,-2/1,-2/1,-1/1}},false
2014,false,{},false
2015,false,{},false
2016,true,{{1/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,0/1,-1/1}},false
2017,true,{{1/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,0/1,-1/1}},false
2018,false,{},false
2019,true,{{1/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,1/1,-1/1},{0/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,0/1,-1/1}},false
2020,false,{},false
2021,false,{},false
2022,false,{},false
2023,false,{},false
2024,false,{},false
2025,false,{},false
2026,false,{},false
2027,false,{},false
2028,true,{{1/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,0/1,-1/1}},false
2029,false,{},false
2030,true,{{1/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,0/1,-1/1}},false
2031,false,{},false
2032,true,{{1/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,1/1,-1/1},{0/1,-1/1,-1/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-2/1,0/1,-1/1}},false
2033,false,{},false
2034,true,{{1/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-2/1,0/1,0/1,-1/1}},false
2035,false,{},false
2036,false,{},false
