32,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-3/1,0/1,-1/1}},false
33,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-3/1,0/1,-1/1}},false
34,false,{},false
35,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-3/1,0/1,-1/1}},false
36,false,{},false
37,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-3/1,0/1,-1/1}},false
38,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-3/1,0/1,-1/1}},false
39,false,{},false
40,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-3/1,0/1,-1/1}},false
41,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
42,false,{},false
43,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
44,false,{},false
45,true,{{1/1,0/1,0/1,-1/1,0/1,0/1},{0/1,1/1,0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-2/1,1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-3/1,0/1,-1/1}},false
46,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
47,true,{{1/1,0/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,0/1,-1/1}},false
48,false,{},false
