0,true,{{-1/1,0/1,0/1,1/1},{0/1,-1/1,0/1,1/1},{0/1,0/1,-1/1,1/1},{0/1,0/1,0/1,1/1}},false
1,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1}},false
2,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1}},false
3,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1}},false
4,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
5,true,{{1/1,-1/1,0/1,0/1},{1/1,0/1,0/1,0/1},{1/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
6,true,{{1/1,0/1,-1/1,-1/1},{1/1,-1/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
7,true,{{1/1,0/1,-1/1,0/1},{1/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
8,true,{{-1/1,1/1,1/1,-1/1},{0/1,1/1,0/1,-1/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
9,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
10,true,{{1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
11,true,{{1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
12,true,{{1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
13,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1}},false
14,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,1/1},{0/1,0/1,1/1,0/1}},false
15,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,1/1},{0/1,0/1,1/1,0/1}},false
16,true,{{1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{2/1,0/1,0/1,1/1},{1/1,0/1,0/1,0/1}},false
17,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,0/1},{0/1,0/1,0/1,-1/1}},false
18,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,1/1}},false
19,true,{{1/1,0/1,0/1,0/1},{1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1}},false
20,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,1/1},{0/1,0/1,1/1,0/1}},false
21,true,{{-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1},{0/1,0/1,1/1,0/1},{0/1,0/1,0/1,1/1}},false
22,true,{{1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1},{1/1,0/1,0/1,1/1},{1/1,0/1,0/1,0/1}},false
23,true,{{1/1,0/1,1/1,0/1},{1/1,-1/1,1/1,0/1},{0/1,0/1,1/1,0/1},{0/1,0/1,0/1,-1/1}},false
