183,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
184,false,{},false
185,false,{},false
186,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
187,false,{},false
188,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,1/1,0/1,-1/1},{0/1,-2/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
189,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
190,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
191,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
192,false,{},false
193,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
194,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
195,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
196,false,{},false
197,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
198,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
199,true,{{1/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-2/1,-1/1}},false
200,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
201,false,{},false
202,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
203,false,{},false
204,false,{},false
205,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,0/1,0/1,-1/1}},false
206,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
207,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
208,false,{},false
209,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
210,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
211,false,{},false
212,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1}},false
213,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
214,false,{},false
215,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
216,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
217,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
218,false,{},false
219,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
220,false,{},false
221,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1}},false
222,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,-1/1,-1/1,-1/1}},false
223,false,{},false
224,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1}},false
225,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
226,false,{},false
227,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
228,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
229,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
230,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
231,false,{},false
232,false,{},false
233,false,{},false
234,false,{},false
235,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1}},false
236,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1}},false
237,false,{},false
238,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
239,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
240,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1}},false
241,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
242,false,{},false
243,false,{},false
244,false,{},false
245,false,{},false
246,false,{},false
247,false,{},false
248,false,{},false
249,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
250,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
251,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
252,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
253,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
254,false,{},false
255,false,{},false
256,false,{},false
257,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1}},false
258,false,{},false
259,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
260,false,{},false
261,false,{},false
262,false,{},false
263,false,{},false
264,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1}},false
265,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
266,false,{},false
267,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
268,true,{{-1/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
269,true,{{-1/1,0/1,0/1,0/1,-1/1},{0/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
270,false,{},false
271,false,{},false
272,false,{},false
273,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
274,true,{{-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
275,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
276,false,{},false
277,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
278,false,{},false
279,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
280,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
281,false,{},false
282,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
283,false,{},false
284,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
285,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
286,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-2/1,-2/1,-1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
287,false,{},false
288,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
289,false,{},false
290,false,{},false
291,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
292,false,{},false
293,false,{},false
294,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
295,false,{},false
296,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
297,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
298,false,{},false
299,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-2/1,-2/1,-1/1,-1/1}},false
300,false,{},false
301,false,{},false
302,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-2/1,-2/1,-1/1,-1/1}},false
303,false,{},false
304,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
305,false,{},false
306,false,{},false
307,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
308,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
309,false,{},false
310,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-2/1,1/1,-1/1,-1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
311,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
312,false,{},false
313,false,{},false
314,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
315,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
316,false,{},false
317,false,{},false
318,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
319,false,{},false
320,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
321,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
322,false,{},false
323,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
324,false,{},false
325,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
326,false,{},false
327,false,{},false
328,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1}},false
329,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,1/1},{0/1,0/1,-1/1,-1/1,0/1}},false
330,false,{},false
331,false,{},false
332,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1}},false
333,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1}},false
334,false,{},false
335,false,{},false
336,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
337,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
338,false,{},false
339,false,{},false
340,false,{},false
341,false,{},false
342,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,1/1},{0/1,0/1,-1/1,-1/1,0/1}},false
343,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,1/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1}},false
344,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,-1/1,-1/1,1/1},{0/1,0/1,-1/1,-1/1,0/1}},false
345,false,{},false
346,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,-1/1}},false
347,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
348,false,{},false
349,false,{},false
350,false,{},false
351,false,{},false
352,false,{},false
353,false,{},false
354,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
355,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
356,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
357,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
358,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
359,true,{{-1/1,-1/1,-1/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
360,false,{},false
361,false,{},false
362,false,{},false
363,false,{},false
364,true,{{-1/1,0/1,0/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
365,false,{},false
366,false,{},false
367,false,{},false
368,false,{},false
369,false,{},false
370,false,{},false
371,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
372,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
373,false,{},false
374,false,{},false
375,false,{},false
376,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,-1/1,0/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
377,false,{},false
378,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
379,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
380,false,{},false
381,true,{{1/1,-1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,-1/1,-1/1,0/1,0/1},{0/1,-1/1,-1/1,0/1,-1/1}},false
382,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,-1/1,-1/1}},false
383,false,{},false
384,false,{},false
385,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
386,false,{},false
387,false,{},false
388,false,{},false
389,false,{},false
390,false,{},false
391,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,1/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-2/1,0/1,-1/1,-1/1}},false
392,true,{{1/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,1/1,0/1,-1/1},{0/1,-1/1,0/1,-1/1,0/1},{0/1,-1/1,0/1,0/1,0/1},{0/1,-1/1,0/1,0/1,-1/1}},false
393,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,-1/1,1/1,-1/1,-1/1},{0/1,-1/1,0/1,-1/1,-1/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
394,false,{},false
395,false,{},false
396,false,{},false
397,false,{},false
398,false,{},false
399,false,{},false
400,false,{},false
401,false,{},false
402,false,{},false
403,false,{},false
