33,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-2/1,0/1,-1/1}},false
34,false,{},false
35,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-2/1,0/1,-1/1}},false
36,false,{},false
37,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-2/1,0/1,-1/1}},false
38,false,{},false
39,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,-1/1},{0/1,0/1,0/1,-1/1,0/1}},false
40,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,-1/1,0/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-2/1,0/1,-1/1}},false
41,false,{},false
42,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-2/1,0/1,-1/1}},false
43,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,0/1,-1/1}},false
44,false,{},false
45,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
46,false,{},false
47,true,{{1/1,0/1,-1/1,0/1,0/1},{0/1,1/1,-1/1,0/1,0/1},{0/1,0/1,-1/1,1/1,-1/1},{0/1,0/1,-1/1,0/1,0/1},{0/1,0/1,-2/1,0/1,-1/1}},false
48,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,0/1,0/1},{0/1,0/1,0/1,1/1,-1/1},{0/1,0/1,0/1,0/1,-1/1}},false
49,true,{{1/1,0/1,0/1,0/1,0/1},{0/1,1/1,0/1,0/1,0/1},{0/1,0/1,1/1,-1/1,0/1},{0/1,0/1,0/1,-1/1,0/1},{0/1,0/1,0/1,-2/1,-1/1}},false
